Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SBFC,Judith,Successful DA,10,22,26,52,-,-
SBFC,Judith,Successful Pass,10,24,26,50,-,-
SBFC,Nithya,Successful Pass,10,25,38,48,-,-
SBFC,Judith,Successful Pass,10,28,35,55,-,-
SBFC,9,Successful Pass,10,29,55,20,-,-
SBFC,Nithya,Shot On Target,10,31,87,50,-,-
Prakrida FC,Shraddha,Successful DA,10,31,90,50,-,-
Prakrida FC,Kayli,Shot Off Target,10,36,55,51,-,-
Prakrida FC,Deepa,Successful Pass,10,54,50,50,-,-
Prakrida FC,Nicky,Shot On Target,10,55,41,48,-,-
SBFC,GK,Successful DA,10,56,98,36,-,-
Prakrida FC,Nicky,Successful Pass,11,1,47,0,-,-
Prakrida FC,Tiana,Successful Pass,11,5,37,3,-,-
Prakrida FC,Deepa,Shot Off Target,11,8,42,49,-,-
SBFC,Judith,Goal Kick,11,27,88,44,-,-
SBFC,Judith,Unsuccessful Pass,11,27,81,56,-,-
Prakrida FC,Shraddha,Goal Kick,11,47,13,50,-,-
